File Name,LOC,Comment Percentage,Docstring Percentage,Blank Percentage,Number Of Functions,Average Function Length,Number of Loops,Average Loop Length,CycloComplexity,Max Depth,Execution Time,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_359/final|hw7pr1iri_modeler .py,805,44.099378881987576,6.583850931677018,23.47826086956522,7,13.714285714285714,22,4.636363636363637,68,2,1.1994259357452393,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_353/final|hw3pr1 .py,498,24.69879518072289,17.670682730923694,35.140562248995984,13,10.923076923076923,16,4.6875,50,1,1.5892057418823242,CS35,sp2025,2025
"/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|_23972_1415383_Copy of CGU Week2_  Strings, Slicing, and Functions ('s Copy).py",566,30.918727915194346,10.424028268551238,26.325088339222614,18,9.166666666666666,2,3.5,81,2,1.222249984741211,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3510/final|hw4pr1 .py,888,23.536036036036037,3.7162162162162162,35.24774774774775,7,12.857142857142858,3,7.333333333333333,11,1,1.3129589557647705,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_353/final|hw5pr1birth_cleaner .py,74,36.486486486486484,0.0,31.08108108108108,1,2.0,0,0,4,1,1.3041152954101562,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/ECON176-Data/assignments postllm/submissions_econ176_sp2025/submission_1766/final|Assignment 1- .py,286,21.328671328671327,3.4965034965034967,35.31468531468531,6,8.833333333333334,4,5.25,16,2,5.364174127578735,ECON176,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_359/final|hw1pr1 .py,1379,34.0826686004351,13.343002175489485,26.68600435097897,30,23.733333333333334,48,11.354166666666666,367,4,1.4136950969696045,CS35,sp2025,2025
"/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_Week_5_CGU_For_libraries,_for_lists,_for_the_win('s_Copy).py",898,28.28507795100223,16.481069042316257,33.630289532293986,15,10.4,10,5.9,73,3,1.2700729370117188,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3512/final|hw6pr1birth_modeler .py,780,43.46153846153846,1.7948717948717947,24.102564102564102,4,10.75,14,6.0,40,1,1.2656209468841553,CS35,sp2025,2025
"/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_CGU_Week2_Strings,_Slicing,_and_Functions (2).py",505,26.13861386138614,8.514851485148515,29.306930693069305,19,7.578947368421052,2,3.5,39,2,1.3220059871673584,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_353/final|hw6pr1birth_modeler .py,188,30.851063829787233,0.0,22.872340425531913,0,0,5,8.0,16,0,1.332233190536499,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3511/final|hw5pr1birth_modeler .py,426,46.71361502347418,3.286384976525822,28.169014084507044,3,14.333333333333334,6,5.333333333333333,18,1,1.3219881057739258,CS35,sp2025,2025
"/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|CGU_IST_341_Week_3_Functions,_Loops,_and___&_ (1).py",1143,24.146981627296586,13.123359580052494,31.84601924759405,38,9.894736842105264,32,4.625,183,2,1.2843341827392578,IST341,sp2025,2025
"/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|CGU_IST_341_Week_3_Functions,_Loops,_and___&_.py",1143,24.146981627296586,13.123359580052494,31.84601924759405,38,9.894736842105264,32,4.625,183,2,1.2587361335754395,IST341,sp2025,2025
"/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_CGU_IST_341_Week_3_Functions,_Loops,_and_ (3).py",1322,24.81089258698941,21.40695915279879,31.391830559757945,45,11.511111111111111,35,4.914285714285715,136,2,1.3081867694854736,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_358/final|hw4pr1 .py,892,26.79372197309417,5.605381165919283,34.97757847533632,11,11.636363636363637,3,3.0,11,2,1.2855100631713867,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/ECON176-Data/assignments postllm/submissions_econ176_sp2025/submission_17610/final|Assignment 7- .py,636,15.880503144654087,1.8867924528301887,28.61635220125786,7,8.142857142857142,1,15.0,6,2,timeout,ECON176,sp2025,2025
