File Name,LOC,Comment Percentage,Docstring Percentage,Empty Percentage,Number Of Functions,Number of Loops,CycloComplexity,Average Function Length,Max Depth,Execution Time,Weeks Covered,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12401442/final.py,474,9.705,28.48101265822785,13.71308016877637,24,166,19.75,24,3,1.303,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12359213/final.py,603,1.658,14.759535655058045,10.77943615257048,30,303,20.1,58,6,1.283,7,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12437360/final.py,304,13.158,10.855263157894738,14.473684210526317,14,88,21.714285714285715,11,4,1.261,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12407590/finalproject.py,265,22.264,4.528301886792453,21.88679245283019,8,65,33.125,4,4,1.269,4,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7688190/final.py,930,12.043,7.741935483870968,5.806451612903226,23,294,40.43478260869565,-1,2,1.34,7,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12411942/final.py,592,13.514,3.3783783783783785,18.91891891891892,15,178,39.46666666666667,6,2,1.305,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12371122/final.py,295,27.797,15.593220338983052,11.186440677966102,15,57,19.666666666666668,11,4,1.309,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7878747/Scatterplot_previous_year.py,228,10.965,0.8771929824561403,27.192982456140353,5,52,45.6,9,2,1.254,4,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7847778/graphs.py,216,17.593,12.5,6.944444444444445,4,110,54.0,13,2,1.303,5,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12406169/final.py,314,2.229,27.388535031847137,14.012738853503183,21,84,14.952380952380953,26,3,1.281,8,CS5,s2018,2018
