File Name,LOC,Comment Percentage,Docstring Percentage,Blank Percentage,Number Of Functions,Average Function Length,Number of Loops,Average Loop Length,CycloComplexity,Max Depth,Execution Time,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218934502/final.py,321,38.31775700934579,8.09968847352025,18.06853582554517,6,26.333333333333332,1,50.0,68,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218938343/finalproject.py,373,12.332439678284182,20.37533512064343,24.128686327077748,15,16.466666666666665,14,4.428571428571429,57,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218939049/final.py,200,7.5,24.0,28.499999999999996,5,8.8,5,10.4,28,1,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218940478/final.py,304,7.565789473684211,14.144736842105262,17.434210526315788,16,14.25,12,5.166666666666667,56,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218943739/CS5Finalproject.py,962,1.0395010395010396,12.577962577962579,13.201663201663202,8,108.375,10,41.9,169,1,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218944887/final.py,313,2.2364217252396164,0.0,11.821086261980831,7,40.285714285714285,4,29.5,74,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218945402/final.py,163,15.337423312883436,31.901840490797547,17.791411042944784,8,16.25,6,9.833333333333334,30,1,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218946156/final.py,123,0.8130081300813009,3.2520325203252036,1.6260162601626018,1,8.0,4,20.25,87,1,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218946218/final.py,1121,2.0517395182872438,4.817127564674398,7.493309545049064,17,63.76470588235294,117,10.333333333333334,837,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218947010/LB.py,71,28.169014084507044,19.718309859154928,21.12676056338028,4,10.75,5,3.0,12,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218947010/final_project1.py,183,7.103825136612022,15.300546448087433,20.21857923497268,9,15.555555555555555,19,7.2631578947368425,78,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218947010/life_pyglet_example.py,160,29.375,3.75,22.5,4,29.25,6,10.5,32,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218947900/final.py,309,15.210355987055015,17.475728155339805,18.77022653721683,15,16.133333333333333,11,4.909090909090909,49,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218949201/final.py,178,13.48314606741573,39.8876404494382,10.674157303370785,5,30.6,4,16.0,46,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218949844/final.py,100,0.0,26.0,17.0,8,11.0,8,7.125,38,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218949929/final.py,474,0.21097046413502107,10.337552742616033,13.71308016877637,12,37.5,41,15.951219512195122,161,4,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218949944/final.py,396,6.8181818181818175,12.878787878787879,27.77777777777778,14,23.071428571428573,20,9.25,123,1,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218950005/final.py,474,0.21097046413502107,10.337552742616033,13.71308016877637,12,37.5,41,15.951219512195122,161,4,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218954831/final.py,682,0.5865102639296188,9.67741935483871,9.67741935483871,18,35.666666666666664,46,6.369565217391305,294,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218955265/final.py,435,20.0,6.896551724137931,15.402298850574713,9,18.11111111111111,5,30.2,42,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218955561/final.py,2226,0.0,0.2695417789757413,2.8301886792452833,3,722.0,28,74.10714285714286,1335,1,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218956115/final(collisions).py,391,33.50383631713555,11.253196930946292,19.437340153452684,10,20.1,3,15.0,38,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218956115/final(snow).py,412,31.31067961165049,11.650485436893204,20.631067961165048,11,19.545454545454547,3,18.333333333333332,38,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218956170/final.py,515,21.16504854368932,6.796116504854369,18.83495145631068,8,14.5,4,85.75,148,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218956216/FinalProject(Collision).py,390,33.33333333333333,11.282051282051283,19.230769230769234,10,20.1,3,15.0,38,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218956758/final.py,726,17.4931129476584,4.40771349862259,19.146005509641874,12,16.833333333333332,6,41.333333333333336,102,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218956830/textmodel.py,325,13.538461538461538,21.846153846153847,10.153846153846153,15,16.8,11,5.0,73,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218957259/final.py,419,36.754176610978526,10.023866348448687,16.467780429594274,11,17.272727272727273,1,58.0,54,1,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218957394/finalproject.py,592,11.993243243243242,16.89189189189189,10.135135135135135,20,25.15,26,11.153846153846153,227,6,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218960802/final.py,535,25.233644859813083,3.7383177570093453,20.0,16,18.375,2,37.0,167,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218962138/final.py,728,1.098901098901099,4.532967032967033,7.417582417582418,12,54.5,15,118.93333333333334,292,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218967166/final.py,682,0.5865102639296188,9.67741935483871,9.67741935483871,18,35.666666666666664,46,6.369565217391305,294,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218967179/final.py,826,15.13317191283293,2.4213075060532687,18.159806295399516,21,25.857142857142858,1,59.0,55,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218969804/final.py,290,22.413793103448278,22.758620689655174,7.931034482758621,18,13.333333333333334,20,6.75,60,4,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218970224/final.py,484,26.859504132231404,5.1652892561983474,20.041322314049587,9,20.22222222222222,1,127.0,87,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_219026562/final.py,366,15.846994535519126,16.666666666666664,21.584699453551913,17,19.294117647058822,22,6.318181818181818,95,4,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_219039244/final.py,223,26.905829596412556,0.0,5.829596412556054,9,18.666666666666668,9,13.222222222222221,80,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_219051344/final.py,400,11.25,16.5,12.0,16,17.3125,11,8.0,78,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_219062236/finalproject.py,396,15.404040404040403,17.67676767676768,21.21212121212121,8,28.5,2,45.0,92,1,-3.0,CS5,s2023,2023
