File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26420218/final.py,503,22.142133794007268,22,195,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26624381/final.py,281,23.41419986645894,7,54,2,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26608384/TextID.py,331,16.283378746594003,14,68,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26608384/porter.py,340,31.94668477799474,17,240,2,7
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26637566/final.py,328,30.181876452207355,8,79,2,4
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26637754/final.py,231,17.594322002241313,7,75,2,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26626414/final.py,651,29.329289732770746,36,271,6,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26668266/final.py,203,34.05469994689325,18,63,4,8
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26638985/final.py,151,26.124370839421985,3,44,1,4
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26357795/final.py,399,28.286072379758732,23,143,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26413638/final.py,464,29.763893933890305,28,153,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26344511/final.py,479,24.68499427262314,26,206,2,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26563402/final.py,446,21.285635964912288,28,175,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26665729/final.py,383,27.829414980863866,20,147,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26555227/final.py,420,24.595886772406462,26,149,3,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26663907/Final_Project_Garg.py,238,11.736512228093886,14,64,4,6
/Users/jennyngo/Downloads/CS5 DATA/pre-LLM data/cs5/2019 pre llm/submission_26479395/final2.py,373,36.20151885001356,20,145,4,6
